id^movie_title^language_code
next value for hibernate_sequence^12 Angry Men^English
next value for hibernate_sequence^12 Years a Slave^English
next value for hibernate_sequence^2001: A Space Odyssey^English
next value for hibernate_sequence^2001: A Space Odyssey^Russian
next value for hibernate_sequence^A Beautiful Mind^English
next value for hibernate_sequence^A Christmas Story^English
next value for hibernate_sequence^A Clockwork Orange^English
next value for hibernate_sequence^A Night at the Opera^English
next value for hibernate_sequence^A Night at the Opera^Italian
next value for hibernate_sequence^A Streetcar Named Desire^English
next value for hibernate_sequence^A Streetcar Named Desire^Spanish
next value for hibernate_sequence^Aladdin^English
next value for hibernate_sequence^Alien^English
next value for hibernate_sequence^Aliens^English
next value for hibernate_sequence^All About Eve^English
next value for hibernate_sequence^All About Eve^French
next value for hibernate_sequence^All Quiet on the Western Front^English
next value for hibernate_sequence^All Quiet on the Western Front^French
next value for hibernate_sequence^All Quiet on the Western Front^German
next value for hibernate_sequence^All Quiet on the Western Front^Latin
next value for hibernate_sequence^Amadeus^English
next value for hibernate_sequence^Amadeus^German
next value for hibernate_sequence^Amadeus^Italian
next value for hibernate_sequence^Amadeus^Latin
next value for hibernate_sequence^American Beauty^English
next value for hibernate_sequence^American History X^English
next value for hibernate_sequence^Anatomy of a Murder^English
next value for hibernate_sequence^Annie Hall^English
next value for hibernate_sequence^Annie Hall^German
next value for hibernate_sequence^Apocalypse Now^English
next value for hibernate_sequence^Apocalypse Now^French
next value for hibernate_sequence^Apocalypse Now^Vietnamese
next value for hibernate_sequence^Arsenic and Old Lace^English
next value for hibernate_sequence^Arsenic and Old Lace^German
next value for hibernate_sequence^Baby Driver^English
next value for hibernate_sequence^Back to the Future^English
next value for hibernate_sequence^Barry Lyndon^English
next value for hibernate_sequence^Barry Lyndon^French
next value for hibernate_sequence^Barry Lyndon^German
next value for hibernate_sequence^Batman Begins^English
next value for hibernate_sequence^Batman Begins^Mandarin
next value for hibernate_sequence^Batman Begins^Urdu
next value for hibernate_sequence^Beauty and the Beast^English
next value for hibernate_sequence^Beauty and the Beast^French
next value for hibernate_sequence^Before Sunrise^English
next value for hibernate_sequence^Before Sunrise^French
next value for hibernate_sequence^Before Sunrise^German
next value for hibernate_sequence^Before Sunset^English
next value for hibernate_sequence^Before Sunset^French
next value for hibernate_sequence^Ben-Hur^English
next value for hibernate_sequence^Big Fish^Cantonese
next value for hibernate_sequence^Big Fish^English
next value for hibernate_sequence^Blade Runner^Cantonese
next value for hibernate_sequence^Blade Runner^English
next value for hibernate_sequence^Blade Runner^German
next value for hibernate_sequence^Blade Runner^Hungarian
next value for hibernate_sequence^Blade Runner^Japanese
next value for hibernate_sequence^Blood Diamond^Afrikaans
next value for hibernate_sequence^Blood Diamond^English
next value for hibernate_sequence^Blood Diamond^Mende
next value for hibernate_sequence^Braveheart^English
next value for hibernate_sequence^Braveheart^French
next value for hibernate_sequence^Braveheart^Latin
next value for hibernate_sequence^Braveheart^Scottish Gaelic
next value for hibernate_sequence^Brief Encounter^English
next value for hibernate_sequence^Butch Cassidy and the Sundance Kid^English
next value for hibernate_sequence^Butch Cassidy and the Sundance Kid^Spanish
next value for hibernate_sequence^Casablanca^English
next value for hibernate_sequence^Casablanca^French
next value for hibernate_sequence^Casablanca^German
next value for hibernate_sequence^Casablanca^Italian
next value for hibernate_sequence^Casino^English
next value for hibernate_sequence^Cat on a Hot Tin Roof^English
next value for hibernate_sequence^Catch Me If You Can^English
next value for hibernate_sequence^Catch Me If You Can^French
next value for hibernate_sequence^Chinatown^Cantonese
next value for hibernate_sequence^Chinatown^English
next value for hibernate_sequence^Chinatown^Spanish
next value for hibernate_sequence^Citizen Kane^English
